id,name,income
12061,"Indian River County, Florida",58228.00
12063,"Jackson County, Florida",39545.00
12065,"Jefferson County, Florida",46332.00
12067,"Lafayette County, Florida",42689.00
12069,"Lake County, Florida",52447.00
12071,"Lee County, Florida",56343.00
12073,"Leon County, Florida",51046.00
12075,"Levy County, Florida",39037.00
12077,"Liberty County, Florida",40814.00
12079,"Madison County, Florida",38249.00
12081,"Manatee County, Florida",59587.00
12083,"Marion County, Florida",44517.00
12085,"Martin County, Florida",61592.00
12086,"Miami-Dade County, Florida",52043.00
12087,"Monroe County, Florida",67094.00
12089,"Nassau County, Florida",66898.00
12091,"Okaloosa County, Florida",62779.00
12093,"Okeechobee County, Florida",42258.00
12095,"Orange County, Florida",58037.00
12097,"Osceola County, Florida",50473.00
12099,"Palm Beach County, Florida",61735.00
12101,"Pasco County, Florida",53788.00
12103,"Pinellas County, Florida",52226.00
12105,"Polk County, Florida",51354.00
12107,"Putnam County, Florida",39578.00
12109,"St Johns County, Florida",81925.00
12111,"St Lucie County, Florida",53377.00
12113,"Santa Rosa County, Florida",69541.00
12115,"Sarasota County, Florida",61652.00
12117,"Seminole County, Florida",67187.00
12119,"Sumter County, Florida",55324.00
12121,"Suwannee County, Florida",38525.00
12123,"Taylor County, Florida",42307.00
12125,"Union County, Florida",45906.00
12127,"Volusia County, Florida",50285.00
12129,"Wakulla County, Florida",58203.00
12131,"Walton County, Florida",60973.00
12133,"Washington County, Florida",39225.00
13001,"Appling County, Georgia",42781.00
13003,"Atkinson County, Georgia",36779.00
13005,"Bacon County, Georgia",38775.00
13007,"Baker County, Georgia",38288.00
13009,"Baldwin County, Georgia",42727.00
13011,"Banks County, Georgia",55384.00
13013,"Barrow County, Georgia",61413.00
13015,"Bartow County, Georgia",57409.00
13017,"Ben Hill County, Georgia",35020.00
13019,"Berrien County, Georgia",39412.00
13021,"Bibb County, Georgia",41390.00
13023,"Bleckley County, Georgia",46019.00
13025,"Brantley County, Georgia",41874.00
13027,"Brooks County, Georgia",36354.00
13029,"Bryan County, Georgia",79658.00
13031,"Bulloch County, Georgia",43766.00
13033,"Burke County, Georgia",42785.00
13035,"Butts County, Georgia",48831.00
13037,"Calhoun County, Georgia",33393.00
13039,"Camden County, Georgia",56555.00
13043,"Candler County, Georgia",35841.00
13045,"Carroll County, Georgia",52502.00
13047,"Catoosa County, Georgia",55807.00
13049,"Charlton County, Georgia",40499.00
13051,"Chatham County, Georgia",54165.00
13053,"Chattahoochee County, Georgia",46869.00
13055,"Chattooga County, Georgia",39513.00
13057,"Cherokee County, Georgia",82733.00
13059,"Clarke County, Georgia",42112.00
13061,"Clay County, Georgia",30239.00
13063,"Clayton County, Georgia",46059.00
13065,"Clinch County, Georgia",37593.00
13067,"Cobb County, Georgia",78603.00
13069,"Coffee County, Georgia",39480.00
13071,"Colquitt County, Georgia",38633.00
13073,"Columbia County, Georgia",82184.00
13075,"Cook County, Georgia",38827.00
13077,"Coweta County, Georgia",70974.00
13079,"Crawford County, Georgia",48004.00
13081,"Crisp County, Georgia",36096.00
13083,"Dade County, Georgia",48779.00
13085,"Dawson County, Georgia",68835.00
13087,"Decatur County, Georgia",38441.00
13089,"DeKalb County, Georgia",63477.00
13091,"Dodge County, Georgia",35636.00
13093,"Dooly County, Georgia",37278.00
13095,"Dougherty County, Georgia",38806.00
13097,"Douglas County, Georgia",60512.00
13099,"Early County, Georgia",34984.00
13101,"Echols County, Georgia",38667.00
13103,"Effingham County, Georgia",65793.00
13105,"Elbert County, Georgia",39681.00
13107,"Emanuel County, Georgia",37574.00
13109,"Evans County, Georgia",37319.00
13111,"Fannin County, Georgia",43439.00
13113,"Fayette County, Georgia",95021.00
13115,"Floyd County, Georgia",44906.00
13117,"Forsyth County, Georgia",105921.00
13119,"Franklin County, Georgia",42904.00
13121,"Fulton County, Georgia",70808.00
13123,"Gilmer County, Georgia",47757.00
13125,"Glascock County, Georgia",42820.00
13127,"Glynn County, Georgia",53906.00
13129,"Gordon County, Georgia",49101.00
13131,"Grady County, Georgia",41002.00
13133,"Greene County, Georgia",54016.00
13135,"Gwinnett County, Georgia",72008.00
13137,"Habersham County, Georgia",51829.00
13139,"Hall County, Georgia",61631.00
13141,"Hancock County, Georgia",31716.00
13143,"Haralson County, Georgia",47662.00
13145,"Harris County, Georgia",74686.00
13147,"Hart County, Georgia",47171.00
13149,"Heard County, Georgia",46218.00
13151,"Henry County, Georgia",72970.00
13153,"Houston County, Georgia",60728.00
13155,"Irwin County, Georgia",38156.00
13157,"Jackson County, Georgia",68984.00
13159,"Jasper County, Georgia",51241.00
13161,"Jeff Davis County, Georgia",37211.00
13163,"Jefferson County, Georgia",38274.00
13165,"Jenkins County, Georgia",31419.00
13167,"Johnson County, Georgia",34849.00
13169,"Jones County, Georgia",55737.00
13171,"Lamar County, Georgia",48323.00
13173,"Lanier County, Georgia",41564.00
13175,"Laurens County, Georgia",42114.00
13177,"Lee County, Georgia",66090.00
13179,"Liberty County, Georgia",47685.00
13181,"Lincoln County, Georgia",46967.00
13183,"Long County, Georgia",46428.00
13185,"Lowndes County, Georgia",41820.00
13187,"Lumpkin County, Georgia",55583.00
13189,"McDuffie County, Georgia",42768.00
13191,"McIntosh County, Georgia",42513.00
13193,"Macon County, Georgia",32868.00
13195,"Madison County, Georgia",51338.00
13197,"Marion County, Georgia",39114.00
13199,"Meriwether County, Georgia",38886.00
13201,"Miller County, Georgia",42483.00
13205,"Mitchell County, Georgia",36788.00
13207,"Monroe County, Georgia",59362.00
13209,"Montgomery County, Georgia",41834.00
13211,"Morgan County, Georgia",57978.00
13213,"Murray County, Georgia",46810.00
13215,"Muscogee County, Georgia",46628.00
13217,"Newton County, Georgia",56598.00
13219,"Oconee County, Georgia",99497.00
13221,"Oglethorpe County, Georgia",51105.00
13223,"Paulding County, Georgia",73309.00
13225,"Peach County, Georgia",46525.00
13227,"Pickens County, Georgia",65062.00
13229,"Pierce County, Georgia",44389.00
13231,"Pike County, Georgia",66901.00
13233,"Polk County, Georgia",43679.00
13235,"Pulaski County, Georgia",40582.00
13237,"Putnam County, Georgia",51205.00
13239,"Quitman County, Georgia",33908.00
13241,"Rabun County, Georgia",44213.00
13243,"Randolph County, Georgia",28298.00
13245,"Richmond County, Georgia",40168.00
13247,"Rockdale County, Georgia",59673.00
13249,"Schley County, Georgia",45378.00
13251,"Screven County, Georgia",39048.00
13253,"Seminole County, Georgia",36869.00
13255,"Spalding County, Georgia",43510.00
13257,"Stephens County, Georgia",45850.00
13259,"Stewart County, Georgia",33053.00
13261,"Sumter County, Georgia",37562.00
13263,"Talbot County, Georgia",37265.00
13265,"Taliaferro County, Georgia",34090.00
13267,"Tattnall County, Georgia",41440.00
13269,"Taylor County, Georgia",36310.00
13271,"Telfair County, Georgia",34297.00
13273,"Terrell County, Georgia",35290.00
13275,"Thomas County, Georgia",41642.00
13277,"Tift County, Georgia",45680.00
13279,"Toombs County, Georgia",37148.00
13281,"Towns County, Georgia",45853.00
13283,"Treutlen County, Georgia",35069.00
13285,"Troup County, Georgia",45234.00
13287,"Turner County, Georgia",33261.00
13289,"Twiggs County, Georgia",42054.00
13291,"Union County, Georgia",45943.00
13293,"Upson County, Georgia",40965.00
13295,"Walker County, Georgia",43767.00
13297,"Walton County, Georgia",65416.00
13299,"Ware County, Georgia",38357.00
13301,"Warren County, Georgia",38352.00
13303,"Washington County, Georgia",39444.00
13305,"Wayne County, Georgia",44607.00
13307,"Webster County, Georgia",38187.00
13309,"Wheeler County, Georgia",32691.00
13311,"White County, Georgia",51579.00
13313,"Whitfield County, Georgia",47074.00
13315,"Wilcox County, Georgia",35961.00
13317,"Wilkes County, Georgia",39361.00
13319,"Wilkinson County, Georgia",41036.00
13321,"Worth County, Georgia",48708.00
15001,"Hawaii County, Hawaii",56383.00
15003,"Honolulu County, Hawaii",83695.00
15007,"Kalawao County, Hawaii",73981.00
15009,"Kauai County, Hawaii",78503.00
16001,"Ada County, Idaho",66827.00
16003,"Adams County, Idaho",45311.00
16005,"Bannock County, Idaho",51300.00
16007,"Bear Lake County, Idaho",53780.00
16009,"Benewah County, Idaho",48451.00
16011,"Bingham County, Idaho",50941.00
16013,"Blaine County, Idaho",76113.00
16015,"Boise County, Idaho",56837.00
16017,"Bonner County, Idaho",51373.00
16019,"Bonneville County, Idaho",60444.00
16021,"Boundary County, Idaho",47118.00
16023,"Butte County, Idaho",50050.00
16025,"Camas County, Idaho",53866.00
16027,"Canyon County, Idaho",53381.00
16029,"Caribou County, Idaho",61219.00
16031,"Cassia County, Idaho",51804.00
16033,"Clark County, Idaho",48471.00
16035,"Clearwater County, Idaho",46417.00
16037,"Custer County, Idaho",47682.00
16039,"Elmore County, Idaho",49344.00
16041,"Franklin County, Idaho",58170.00
16043,"Fremont County, Idaho",51155.00
16045,"Gem County, Idaho",49857.00
16047,"Gooding County, Idaho",51302.00
16049,"Idaho County, Idaho",40569.00
16051,"Jefferson County, Idaho",61927.00
16053,"Jerome County, Idaho",54020.00
16055,"Kootenai County, Idaho",56188.00
16057,"Latah County, Idaho",49538.00
16059,"Lemhi County, Idaho",44248.00
16061,"Lewis County, Idaho",44911.00
16063,"Lincoln County, Idaho",50464.00
16065,"Madison County, Idaho",41827.00
16067,"Minidoka County, Idaho",53447.00
16069,"Nez Perce County, Idaho",54476.00
16071,"Oneida County, Idaho",52602.00
16073,"Owyhee County, Idaho",48192.00
16075,"Payette County, Idaho",51835.00
16077,"Power County, Idaho",51921.00
16079,"Shoshone County, Idaho",36085.00
16081,"Teton County, Idaho",68749.00
16083,"Twin Falls County, Idaho",51594.00
